number,name_en,special_effect_en,effect_en
0,Imperialdramon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter",Add number of DP Cards in DP Slot x100 to own Attack Power.
1,Omnimon I,"<img src=""~/img/icon/x.png"" alt=""x""/> Counter","Change own Specialty to <img src=""~/img/icon/Fire.png"" alt=""Fire""/>. Boost own Attack Power +100."
2,WarGreymon,"<img src=""~/img/icon/Ice.png"" alt=""Ice""/> Foe X3",Add number of Cards in Hand x100 to own Attack Power.
3,Phoenixmon,Eat-Up HP,Digimon KO'd in battle revives with 500 HP. Battle is still lost.
4,Paildramon,"<img src=""~/img/icon/x.png"" alt=""x""/> to 0","If own Specialty is <img src=""~/img/icon/Fire.png"" alt=""Fire""/>, boost own Attack Power +300."
5,Gigadramon,"None <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">",None
6,RealMetalGreymon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter",Boost own Attack Power +300.
7,Garudamon,"1st Attack <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If own Attack is , attack first."
8,MasterTyrannomon,"<img src=""~/img/icon/Ice.png"" alt=""Ice""/> Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If own Specialty is <img src=""~/img/icon/Fire.png"" alt=""Fire""/>, own Attack Power is doubled."
9,MetalGreymon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter","If own Level is U, boost own Attack Power +500."
10,Vermilimon,"<img src=""~/img/icon/triangle.png"" alt=""triangle""/> Counter",None
11,Meteormon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Lower opponent's Attack Power to 0.
12,ExVeemon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter","If own Level is A, boost own Attack Power +300."
13,Aquilamon,"1st Attack <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If 's attack is , attack first."
14,Greymon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter","If own Level is C, boost own Attack Power +300."
15,Apemon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter","Change own Specialty to <img src=""~/img/icon/Fire.png"" alt=""Fire""/>. Boost own Attack Power +200."
16,Tyrannomon,"<img src=""~/img/icon/Nature.png"" alt=""Nature""/> Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">",None
17,Monochromon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",None
18,Meramon,"<img src=""~/img/icon/Ice.png"" alt=""Ice""/> Foe X3","If opponent's Specialty is <img src=""~/img/icon/Ice.png"" alt=""Ice""/>, own Attack Power is tripled."
19,Centarumon,"<img src=""~/img/icon/Ice.png"" alt=""Ice""/> Foe X3",Use and Boost own Attack Power +400.
20,Birdramon,1st Attack,Attack first.
21,Tankmon,1st Attack,Own HP become 10. Boost own Attack Power +500.
22,RedVegiemon,"None <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","Discard all own DP Cards in DP Slot, boost own Attack Power +300."
23,Piddomon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Own Attack Power becomes same as own HP.
24,Akatorimon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Boost own Attack Power +200.
25,BomberNanimon,"Crash <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If both Levels are C, boost own Attack Power +400."
26,Flarerizamon,"None <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","Change own Specialty to <img src=""~/img/icon/Fire.png"" alt=""Fire""/>."
27,Agumon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Boost own Attack Power +300.
28,Solarmon,Crash,None
29,Biyomon,1st Attack,Boost own Attack Power +200.
30,Muchomon,"<img src=""~/img/icon/x.png"" alt=""x""/> Counter",Boost own Attack Power +300.
31,Candlemon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter",Boost own Attack Power +200.
32,D-Otamamon,"<img src=""~/img/icon/Ice.png"" alt=""Ice""/> Foe X3","If opponent's Specialty is <img src=""~/img/icon/Ice.png"" alt=""Ice""/>, own Attack Power is doubled."
33,Goburimon,None,None
34,Vikemon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",None
35,Omnimon II,"<img src=""~/img/icon/x.png"" alt=""x""/> Counter","Change own Specialty to <img src=""~/img/icon/Ice.png"" alt=""Ice""/>. Recover own HP by +100."
36,MetalSeadramon,"<img src=""~/img/icon/Fire.png"" alt=""Fire""/> Foe X3","If own Specialty is <img src=""~/img/icon/Ice.png"" alt=""Ice""/>, opponent's Support Effect is voided."
37,MetalGarurumon,"<img src=""~/img/icon/Fire.png"" alt=""Fire""/> Foe X3","If own Cards in Hand 3 or more, opponent's Attack Power becomes 0."
38,MarineAngemon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Recover own HP by +200.
39,WereGarurumon,"<img src=""~/img/icon/triangle.png"" alt=""triangle""/> Counter",Add number of DP Cards in DP Slot x100 to own HP.
40,Zudomon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0","If own Specialty is <img src=""~/img/icon/Ice.png"" alt=""Ice""/>, opponent's Attack Power is halved."
41,Panjyamon,"<img src=""~/img/icon/triangle.png"" alt=""triangle""/> Counter",Counterattack. Attack second.
42,MegaSeadramon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter",Counterattack. Attack second.
43,WaruSeadramon,"Jamming <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">",Opponent's Support Effect is voided.
44,Brachiomon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Lower opponent's Attack Power to 0.
45,BlueMeramon,"<img src=""~/img/icon/x.png"" alt=""x""/> to 0",Lower opponent's Attack Power to 0.
46,Garurumon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter",Opponent uses .
47,Ikkakumon,"<img src=""~/img/icon/Fire.png"" alt=""Fire""/> Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If opponent's Specialty is <img src=""~/img/icon/Fire.png"" alt=""Fire""/>, own Attack Power is tripled."
48,Dolphmon,"<img src=""~/img/icon/x.png"" alt=""x""/> to 0","If 's Attack is not , recover own HP by +300."
49,Whamon,"<img src=""~/img/icon/triangle.png"" alt=""triangle""/> to 0",Own HP become 700.
50,Seadramon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Opponent's Attack Power is halved.
51,Gesomon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",None
52,Frigimon,"<img src=""~/img/icon/Fire.png"" alt=""Fire""/> Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">",Recover own HP by +200.
53,Gekomon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0","Change opponent's Specialty to <img src=""~/img/icon/Ice.png"" alt=""Ice""/>."
54,Coelamon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Lower opponent's Attack Power to 0.
55,Mojyamon,"None <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">",Recover own HP by +200.
56,Shellmon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0","If opponent used , change it to ."
57,Sorcerimon,"Jamming <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","Change own Specialty to <img src=""~/img/icon/Ice.png"" alt=""Ice""/>."
58,IceDevimon,"<img src=""~/img/icon/Fire.png"" alt=""Fire""/> Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If opponent's Specialty is <img src=""~/img/icon/Fire.png"" alt=""Fire""/>, own Attack Power is tripled."
59,Hyogamon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter",None
60,Icemon,"<img src=""~/img/icon/x.png"" alt=""x""/> Counter",None
61,Gomamon,"<img src=""~/img/icon/triangle.png"" alt=""triangle""/> to 0",Lower opponent's Attack Power to 0.
62,Gabumon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",None
63,Betamon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0","If own HP are less than 200, reduce opponent's Attack Power to 0."
64,Penguinmon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter","If opponent's Specialty is <img src=""~/img/icon/Fire.png"" alt=""Fire""/>, reduce opponent's Attack Power to 0."
65,Gizamon,"<img src=""~/img/icon/Fire.png"" alt=""Fire""/> Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If opponent's Specialty is <img src=""~/img/icon/Fire.png"" alt=""Fire""/>, own Attack Power is doubled."
66,Otamamon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Reduce opponent's Attack Power to 0.
67,SnowAgumon,"<img src=""~/img/icon/x.png"" alt=""x""/> to 0",Reduce opponent's Attack Power to 0.
68,SnowGoburimon,None,None
69,Valkyrimon,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0",Opponent uses .
70,Seraphimon,"<img src=""~/img/icon/Darkness.png"" alt=""Darkness""/> Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If opponent's Specialty is <img src=""~/img/icon/Darkness.png"" alt=""Darkness""/>, own Attack Power is +200 & HP +200."
71,Magnadramon,"<img src=""~/img/icon/x.png"" alt=""x""/> to 0",Counterattack. Attack second.
72,AeroVeedramon,"1st Attack <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If 's Level is U, own Attack Power is doubled."
73,Rosemon,Eat-up HP,"If opponent's HP are 1000+, own attack becomes ""Eat-up HP""."
74,HerculesKabuterimon,1st Attack,None
75,MagnaAngemon,"<img src=""~/img/icon/Darkness.png"" alt=""Darkness""/> Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">","If opponent's Specialty is <img src=""~/img/icon/Darkness.png"" alt=""Darkness""/>, boost own Attack Power +500."
76,Sylphymon,"<img src=""~/img/icon/triangle.png"" alt=""triangle""/> to 0","If Specialty is not <img src=""~/img/icon/Nature.png"" alt=""Nature""/>, attack second."
77,Angewomon,"<img src=""~/img/icon/Darkness.png"" alt=""Darkness""/> Foe X3","If opponent's Specialty is <img src=""~/img/icon/Darkness.png"" alt=""Darkness""/>, recover own HP by +500."
78,Lillymon,Eat-up HP,Recover own HP by +200.
