name_en,number,effect,special_effect
Imperialdramon,0,Add number of DP Cards in DP Slot x100 to own Attack Power.,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter"
Omnimon I,1,Change own Specialty to Fire. Boost own Attack Power +100.,"<img src=""~/img/icon/x.png"" alt=""x""/> Counter"
WarGreymon,2,Add number of Cards in Hand x100 to own Attack Power.,Ice Foe X3
Phoenixmon,3,Digimon KO'd in battle revives with 500 HP. Battle is still lost.,Eat-Up HP
Paildramon,4,"If own Specialty is Fire, boost own Attack Power +300.","<img src=""~/img/icon/x.png"" alt=""x""/> to 0"
Gigadramon,5,None,"None <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">"
RealMetalGreymon,6,Boost own Attack Power +300.,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter"
Garudamon,7,"If own Attack is , attack first.","1st Attack <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">"
MasterTyranomon,8,"If own Specialty is Fire, own Attack Power is doubled.","Ice Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">"
MetalGreymon,9,"If own Level is U, boost own Attack Power +500.","<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter"
Vermilimon,10,None,"<img src=""~/img/icon/triangle.png"" alt=""triangle""/> Counter"
Meteormon,11,Lower opponent's Attack Power to 0.,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0"
ExVeemon,12,"If own Level is A, boost own Attack Power +300.","<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter"
Aquilamon,13,"If 's attack is , attack first.","1st Attack <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">"
Greymon,14,"If own Level is C, boost own Attack Power +300.","<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter"
Apemon,15,Change own Specialty to Fire. Boost own Attack Power +200.,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter"
Tyrannomon,16,None,"Nature Foe X3 <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">"
Monochromon,17,None,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0"
Meramon,18,"If opponent's Specialty is Ice, own Attack Power is tripled.",Ice Foe X3
Centarumon,19,Use and Boost own Attack Power +400.,Ice Foe X3
Birdramon,20,Attack first.,1st Attack
Tankmon,21,Own HP become 10. Boost own Attack Power +500.,1st Attack
RedVegiemon,22,"Discard all own DP Cards in DP Slot, boost own Attack Power +300.","None <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">"
Piddomon,23,Own Attack Power becomes same as own HP.,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0"
Akatorimon,24,Boost own Attack Power +200.,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0"
BomberNanimon,25,"If both Levels are C, boost own Attack Power +400.","Crash <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">"
Flarerizamon,26,Change own Specialty to Fire.,"None <img class=""imgnofloat"" src=""/a/faqs/63/78563-429.png"" width=""32"" height=""32"">"
Agumon,27,Boost own Attack Power +300.,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0"
Solarmon,28,None,Crash
Biyomon,29,Boost own Attack Power +200.,1st Attack
Muchomon,30,Boost own Attack Power +300.,"<img src=""~/img/icon/x.png"" alt=""x""/> Counter"
Candlemon,31,Boost own Attack Power +200.,"<img src=""~/img/icon/circle.png"" alt=""circle""/> Counter"
D-Otamamon,32,"If opponent's Specialty is Ice, own Attack Power is doubled.",Ice Foe X3
Goburimon,33,None,None
Vikemon,34,None,"<img src=""~/img/icon/circle.png"" alt=""circle""/> to 0"
